iter	Passed	Remaining
0	199	19738
1	247	12132
2	300	9700
3	353	8484
4	408	7757
5	456	7147
6	511	6793
7	691	7956
8	774	7830
9	837	7534
10	894	7235
11	950	6972
12	1005	6731
13	1055	6481
14	1105	6266
15	1154	6059
16	1202	5872
17	1254	5716
18	1305	5563
19	1353	5414
20	1407	5294
21	1460	5177
22	1512	5063
23	1574	4984
24	1627	4882
25	1678	4778
26	1732	4682
27	1786	4593
28	1847	4522
29	1903	4442
30	1958	4358
31	2008	4267
32	2061	4185
33	2112	4101
34	2164	4019
35	2217	3941
36	2272	3869
37	2326	3796
38	2378	3719
39	2430	3645
40	2478	3566
41	2527	3490
42	2580	3420
43	2633	3351
44	2685	3282
45	2733	3208
46	2784	3140
47	2839	3075
48	2890	3008
49	2939	2939
50	2989	2872
51	3040	2806
52	3090	2740
53	3142	2676
54	3194	2613
55	3241	2546
56	3296	2486
57	3356	2430
58	3408	2368
59	3455	2303
60	3514	2247
61	3565	2185
62	3615	2123
63	3664	2061
64	3715	2000
65	3764	1939
66	3830	1886
67	3889	1830
68	3946	1772
69	4004	1716
70	4060	1658
71	4114	1600
72	4163	1539
73	4213	1480
74	4266	1422
75	4318	1363
76	4369	1305
77	4431	1249
78	4482	1191
79	4531	1132
80	4582	1074
81	4629	1016
82	4683	959
83	4749	904
84	4795	846
85	4846	789
86	4893	731
87	4944	674
88	4995	617
89	5042	560
90	5094	503
91	5147	447
92	5192	390
93	5247	334
94	5297	278
95	5347	222
96	5401	167
97	5448	111
98	5499	55
99	5546	0
