Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP
XGBoost,0.01,0.4438202247191011,0.8315789473684211,0.5787545787545787,0.7078853046592267,0.96826107032068,0.811375553423567,0.9982524580325148,0.0017475419674851283,0.16842105263157894,0.003136784971627956,56552,99,16,79
XGBoost,0.02,0.609375,0.8210526315789474,0.6995515695067265,0.7677165354328352,0.96826107032068,0.811375553423567,0.9991174030467247,0.0008825969532753173,0.17894736842105263,0.0022556655975751595,56601,50,17,78
XGBoost,0.03,0.6902654867256637,0.8210526315789474,0.7499999999999999,0.7910750507097183,0.96826107032068,0.811375553423567,0.9993821821327072,0.0006178178672927221,0.17894736842105263,0.0019913297853593206,56616,35,17,78
XGBoost,0.04,0.7333333333333333,0.8105263157894737,0.77,0.7938144329894787,0.96826107032068,0.811375553423567,0.9995057457061658,0.0004942542938341777,0.18947368421052632,0.001850350685510873,56623,28,18,77
XGBoost,0.05,0.7857142857142857,0.8105263157894737,0.7979274611398963,0.8054393305437293,0.96826107032068,0.811375553423567,0.9996293092796243,0.00037069072037563324,0.18947368421052632,0.0017269939731434814,56630,21,18,77
XGBoost,0.060000000000000005,0.8085106382978723,0.8,0.8042328042328043,0.8016877637128813,0.96826107032068,0.811375553423567,0.9996822650968209,0.00031773490317911425,0.2,0.0016565044232192576,56633,18,19,76
XGBoost,0.06999999999999999,0.8260869565217391,0.8,0.8128342245989306,0.8050847457625157,0.96826107032068,0.811375553423567,0.9997175689749519,0.00028243102504810154,0.2,0.0016212596482571458,56635,16,19,76
XGBoost,0.08,0.8260869565217391,0.8,0.8128342245989306,0.8050847457625157,0.96826107032068,0.811375553423567,0.9997175689749519,0.00028243102504810154,0.2,0.0016212596482571458,56635,16,19,76
XGBoost,0.09,0.8444444444444444,0.8,0.8216216216216217,0.8085106382976789,0.96826107032068,0.811375553423567,0.9997528728530829,0.0002471271469170888,0.2,0.0015860148732950341,56637,14,19,76
XGBoost,0.09999999999999999,0.8444444444444444,0.8,0.8216216216216217,0.8085106382976789,0.96826107032068,0.811375553423567,0.9997528728530829,0.0002471271469170888,0.2,0.0015860148732950341,56637,14,19,76
XGBoost,0.11,0.8539325842696629,0.8,0.8260869565217391,0.8102345415776329,0.96826107032068,0.811375553423567,0.9997705247921485,0.0002294752078515825,0.2,0.001568392485813978,56638,13,19,76
XGBoost,0.12,0.8636363636363636,0.8,0.8306010928961749,0.8119658119656211,0.96826107032068,0.811375553423567,0.9997881767312139,0.00021182326878607614,0.2,0.0015507700983329222,56639,12,19,76
XGBoost,0.13,0.8735632183908046,0.8,0.8351648351648352,0.8137044967878192,0.96826107032068,0.811375553423567,0.9998058286702795,0.0001941713297205698,0.2,0.0015331477108518662,56640,11,19,76
XGBoost,0.14,0.8941176470588236,0.8,0.8444444444444443,0.817204301075082,0.96826107032068,0.811375553423567,0.9998411325484104,0.00015886745158955713,0.2,0.0014979029358897543,56642,9,19,76
XGBoost,0.15000000000000002,0.9047619047619048,0.8,0.8491620111731844,0.8189655172411939,0.96826107032068,0.811375553423567,0.999858784487476,0.00014121551252405077,0.2,0.0014802805484086985,56643,8,19,76
XGBoost,0.16,0.9047619047619048,0.8,0.8491620111731844,0.8189655172411939,0.96826107032068,0.811375553423567,0.999858784487476,0.00014121551252405077,0.2,0.0014802805484086985,56643,8,19,76
XGBoost,0.17,0.9047619047619048,0.8,0.8491620111731844,0.8189655172411939,0.96826107032068,0.811375553423567,0.999858784487476,0.00014121551252405077,0.2,0.0014802805484086985,56643,8,19,76
XGBoost,0.18000000000000002,0.9156626506024096,0.8,0.8539325842696628,0.8207343412525159,0.96826107032068,0.811375553423567,0.9998764364265414,0.0001235635734585444,0.2,0.0014626581609276424,56644,7,19,76
XGBoost,0.19,0.9156626506024096,0.8,0.8539325842696628,0.8207343412525159,0.96826107032068,0.811375553423567,0.9998764364265414,0.0001235635734585444,0.2,0.0014626581609276424,56644,7,19,76
XGBoost,0.2,0.9156626506024096,0.8,0.8539325842696628,0.8207343412525159,0.96826107032068,0.811375553423567,0.9998764364265414,0.0001235635734585444,0.2,0.0014626581609276424,56644,7,19,76
XGBoost,0.21000000000000002,0.9156626506024096,0.8,0.8539325842696628,0.8207343412525159,0.96826107032068,0.811375553423567,0.9998764364265414,0.0001235635734585444,0.2,0.0014626581609276424,56644,7,19,76
